dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
who-ayurveda-to-ayurveda,who-ayurveda,ITA-2.1.1,Dosha,namaste-ayurveda,J-12.1,doSha-vidradhiH,1.000,equivalent
who-ayurveda-to-ayurveda,who-ayurveda,ITA-2.1.1,Dosha,namaste-ayurveda,VB,prAkRuta-doSha-karmaH,1.000,equivalent
